X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19899,NY,160,Toronto,2017-04
19900,SC,77,Outside City Limits,2017-04
19901,SC,358,Toronto,2017-04
19902,ET,135,Outside City Limits,2017-05
19903,ET,447,Toronto,2017-05
19904,NY,116,Outside City Limits,2017-05
19905,NY,426,Toronto,2017-05
19906,SC,89,Outside City Limits,2017-05
19907,SC,481,Toronto,2017-05
19908,ET,110,Outside City Limits,2017-06
19909,ET,384,Toronto,2017-06
19910,NY,115,Outside City Limits,2017-06
19911,NY,265,Toronto,2017-06
19912,SC,106,Outside City Limits,2017-06
19913,SC,373,Toronto,2017-06
19914,ET,133,Outside City Limits,2017-07
19915,ET,255,Toronto,2017-07
19916,NY,82,Outside City Limits,2017-07
19917,NY,268,Toronto,2017-07
19918,SC,92,Outside City Limits,2017-07
19919,SC,448,Toronto,2017-07
19920,ET,128,Outside City Limits,2017-08
19921,ET,348,Toronto,2017-08
19922,NY,82,Outside City Limits,2017-08
19923,NY,277,Toronto,2017-08
19924,SC,113,Outside City Limits,2017-08
19925,SC,602,Toronto,2017-08
19926,ET,140,Outside City Limits,2017-09
19927,ET,471,Toronto,2017-09
19928,NY,51,Outside City Limits,2017-09
19929,NY,239,Toronto,2017-09
19930,SC,87,Outside City Limits,2017-09
19931,SC,360,Toronto,2017-09
19932,ET,172,Outside City Limits,2017-10
19933,ET,521,Toronto,2017-10
19934,NY,94,Outside City Limits,2017-10
19935,NY,289,Toronto,2017-10
19936,SC,70,Outside City Limits,2017-10
19937,SC,477,Toronto,2017-10
19938,ET,129,Outside City Limits,2017-11
19939,ET,387,Toronto,2017-11
19940,NY,84,Outside City Limits,2017-11
19941,NY,358,Toronto,2017-11
19942,SC,99,Outside City Limits,2017-11
19943,SC,540,Toronto,2017-11
19944,ET,44,Outside City Limits,2017-12
19945,ET,184,Toronto,2017-12
19946,NY,56,Outside City Limits,2017-12
19947,NY,125,Toronto,2017-12
19948,SC,64,Outside City Limits,2017-12
19949,SC,295,Toronto,2017-12
19950,ET,248,Outside City Limits,2018-01
19951,ET,605,Toronto,2018-01
19952,NY,103,Outside City Limits,2018-01
19953,NY,501,Toronto,2018-01
19954,SC,188,Outside City Limits,2018-01
19955,SC,766,Toronto,2018-01
19956,ET,193,Outside City Limits,2018-02
19957,ET,440,Toronto,2018-02
19958,NY,46,Outside City Limits,2018-02
19959,NY,262,Toronto,2018-02
19960,SC,142,Outside City Limits,2018-02
19961,SC,648,Toronto,2018-02
19962,ET,126,Outside City Limits,2018-03
19963,ET,463,Toronto,2018-03
19964,NY,81,Outside City Limits,2018-03
19965,NY,292,Toronto,2018-03
19966,SC,141,Outside City Limits,2018-03
